Block,Primary Type,Location Description,Arrest,Domestic,Latitude,Longitude,Location,,,,
002XX S CANAL ST,CRIMINAL TRESPASS,OTHER RAILROAD PROP / TRAIN DEPOT,TRUE,FALSE,41.87891543,-87.63973267,"(41.8789154264838, -87.63973267005716)",,,,
029XX W WABANSIA AVE,BATTERY,APARTMENT,FALSE,TRUE,41.91222634,-87.69980465,"(41.912226339451884, -87.69980464880783)",,,,
024XX E 99TH ST,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.71544531,-87.56570092,"(41.71544531302948, -87.56570092145832)",,,,
013XX W CULLERTON ST,CRIMINAL TRESPASS,RESIDENCE,TRUE,FALSE,41.85528607,-87.6597913,"(41.85528607484487, -87.65979130058396)",,,,
033XX W SUNNYSIDE AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.96308294,-87.71147883,"(41.96308293514844, -87.71147883218914)",,,,
046XX S HALSTED ST,CRIMINAL TRESPASS,GROCERY FOOD STORE,TRUE,FALSE,41.80960938,-87.6457078,"(41.80960937504154, -87.64570780113382)",,,,
001XX W 95TH ST,WEAPONS VIOLATION,ALLEY,TRUE,FALSE,41.72179794,-87.62636245,"(41.72179794001927, -87.62636244947724)",,,,
102XX S VAN VLISSINGEN RD,BATTERY,RESIDENCE,FALSE,TRUE,41.70906976,-87.56891905,"(41.70906976110871, -87.56891905429123)",,,,
112XX S LOOMIS ST,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.68846966,-87.65670878,"(41.68846965641421, -87.65670877865524)",,,,
055XX W NORTH AVE,THEFT,CONVENIENCE STORE,TRUE,FALSE,41.90948841,-87.76553727,"(41.909488409288315, -87.76553726968298)",,,,
0000X E HUBBARD ST,CRIMINAL TRESPASS,HOTEL/MOTEL,TRUE,FALSE,41.89019503,-87.62680407,"(41.890195025897036, -87.62680407359186)",,,,
080XX S UNION AVE,INTERFERENCE WITH PUBLIC OFFICER,STREET,TRUE,FALSE,41.74867396,-87.64140028,"(41.74867396169806, -87.64140028131843)",,,,
054XX N WESTERN AVE,THEFT,STREET,FALSE,FALSE,41.98020453,-87.68917535,"(41.98020453394069, -87.68917535354282)",,,,
082XX S CLYDE AVE,THEFT,STREET,FALSE,FALSE,41.74574828,-87.57359232,"(41.74574828260637, -87.57359231774176)",,,,
002XX N WESTERN AVE,CRIMINAL TRESPASS,GAS STATION,TRUE,FALSE,41.88538706,-87.68640122,"(41.885387057629, -87.68640122007332)",,,,
037XX W GEORGE ST,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,41.93380085,-87.72093659,"(41.93380084859452, -87.72093659065634)",,,,
017XX W WELLINGTON AVE,THEFT,STREET,FALSE,FALSE,41.93588726,-87.67257552,"(41.93588726454617, -87.67257551873723)",,,,
069XX S CREGIER AVE,THEFT,RESIDENCE,FALSE,FALSE,41.7686105,-87.58143852,"(41.76861049811148, -87.5814385193926)",,,,
006XX W 103RD ST,MOTOR VEHICLE THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,41.70706748,-87.63959433,"(41.70706748200653, -87.63959433077076)",,,,
011XX W WILSON AVE,DECEPTIVE PRACTICE,CTA PLATFORM,TRUE,FALSE,41.9652848,-87.65775145,"(41.965284803903, -87.65775144924922)",,,,
045XX N SHERIDAN RD,CRIMINAL TRESPASS,OTHER,TRUE,FALSE,41.9639958,-87.65462499,"(41.96399579656196, -87.65462499139221)",,,,
055XX W SCHOOL ST,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,41.94051514,-87.76618834,"(41.940515142700995, -87.76618834075084)",,,,
005XX N WELLS ST,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,41.89217791,-87.63423062,"(41.89217790989109, -87.63423061768769)",,,,
027XX W 15TH PL,THEFT,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,41.86024682,-87.69520067,"(41.86024681680313, -87.69520067084007)",,,,
071XX N OVERHILL AVE,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,42.01029475,-87.81858428,"(42.010294747771816, -87.81858427567263)",,,,
056XX N CHRISTIANA AVE,CRIMINAL DAMAGE,STREET,FALSE,FALSE,41.98415803,-87.71242135,"(41.9841580321893, -87.71242134637409)",,,,
093XX S RACINE AVE,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,41.72384777,-87.6531581,"(41.72384776598907, -87.6531580951111)",,,,
060XX N BROADWAY,THEFT,GROCERY FOOD STORE,TRUE,FALSE,41.99120144,-87.66015906,"(41.99120143563204, -87.66015906423067)",,,,
007XX W 111TH ST,CRIMINAL DAMAGE,GAS STATION,FALSE,FALSE,41.69247284,-87.64136585,"(41.692472844728435, -87.64136585061559)",,,,
